locus_tag	ftype	length_bp	gene	EC_number	COG	product
CAPPHCFD_00001	CDS	1359	dgcT	2.7.7.65	COG3706	putative diguanylate cyclase DgcT
CAPPHCFD_00002	CDS	2424	pgaA		COG0457	Poly-beta-1,6-N-acetyl-D-glucosamine export protein
CAPPHCFD_00003	CDS	2019	pgaB	3.5.1.-	COG0726	Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase
CAPPHCFD_00004	CDS	1326	pgaC	2.4.1.-	COG1215	Poly-beta-1,6-N-acetyl-D-glucosamine synthase
CAPPHCFD_00005	CDS	414	pgaD		COG3658	Biofilm PGA synthesis protein PgaD
CAPPHCFD_00006	CDS	1065	phoH		COG1702	Protein PhoH
CAPPHCFD_00007	CDS	1272	efeB	4.98.1.1	COG2837	Deferrochelatase
CAPPHCFD_00008	CDS	1128	efeO		COG2822	Iron uptake system component EfeO
CAPPHCFD_00009	CDS	831	efeU		COG0672	Ferrous iron permease EfeU
CAPPHCFD_00010	CDS	1509	putP		COG0591	Sodium/proline symporter
CAPPHCFD_00011	CDS	3963	putA		COG0506	Bifunctional protein PutA
CAPPHCFD_00012	CDS	639	rutR		COG1309	HTH-type transcriptional regulator RutR
CAPPHCFD_00013	CDS	1092	rutA	1.14.99.46	COG2141	Pyrimidine monooxygenase RutA
CAPPHCFD_00014	CDS	696	rutB	3.5.1.110	COG1335	Ureidoacrylate amidohydrolase RutB
CAPPHCFD_00015	CDS	387	rutC	3.5.-.-	COG0251	3-aminoacrylate deaminase RutC
CAPPHCFD_00016	CDS	801	rutD	3.5.1.-	COG2021	Putative carbamate hydrolase RutD
CAPPHCFD_00017	CDS	591	rutE	1.1.1.298	COG0778	putative malonic semialdehyde reductase RutE
CAPPHCFD_00018	CDS	495	rutF	1.5.1.42	COG1853	FMN reductase (NADH) RutF
CAPPHCFD_00019	CDS	1329	rutG		COG2233	Putative pyrimidine permease RutG
CAPPHCFD_00020	CDS	174				Putative virulence-regulating protein
CAPPHCFD_00021	CDS	597		1.6.5.2		NAD(P)H dehydrogenase (quinone)
CAPPHCFD_00022	CDS	228	yccJ			putative protein YccJ
CAPPHCFD_00023	CDS	1242	agp	3.1.3.10		Glucose-1-phosphatase
CAPPHCFD_00024	CDS	1260				hypothetical protein
CAPPHCFD_00025	CDS	921	cbpA		COG0484	Curved DNA-binding protein
CAPPHCFD_00026	CDS	306	cbpM		COG0789	Chaperone modulatory protein CbpM
CAPPHCFD_00027	CDS	600	torD		COG3381	Chaperone protein TorD
CAPPHCFD_00028	CDS	2547	torA	1.7.2.3	COG0243	Trimethylamine-N-oxide reductase 1
CAPPHCFD_00029	CDS	1173	torC		COG3005	Cytochrome c-type protein TorC
